"url","id","title","disc_cat_1","disc_cat_2","disc_cat_3","disc_cat_4","disc_cat_5"
"http://arcticdata.io/catalog/view/doi:10.18739/A2ZS2KC8C","doi:10.18739/A2ZS2KC8C","Geochemical and stable isotope composition data from precipitation, runoff, snow and ice collected in Lake Peters watershed, Arctic Wildlife Refuge, Alaska, 2015-2018","Hydrology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2VG48","doi:10.18739/A2VG48","WHOI Ice Tethered Profiler #10","Oceanography","Cryology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6NV9GD1","doi:10.5065/D6NV9GD1","Council Cover Data (Excel) [Copass, C.]","biology","ecology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A28G8FH70","doi:10.18739/A28G8FH70","Methane emissions (Alaska, Canada, Sweden, Siberia) proportional to permafrost carbon thawed in Arctic lakes since the 1950s","ecology","Soil Science","Soil Science","climate",NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2KJ9C","doi:10.18739/A2KJ9C","Photogrammetric scans of aerial photographs of North American glaciers, 1977. Roll 6 thumbnails","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2J87J","doi:10.18739/A2J87J","SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, September 13 - 15, 2014","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2D667","doi:10.18739/A2D667","Cloud-scale turbulent dissipation rate, 2002","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2TN7T","doi:10.18739/A2TN7T","Photogrammetric scans of aerial photographs of North American glaciers, 1995. Roll 1 jpegs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D65H7DF3","doi:10.5065/D65H7DF3","Toolik Hourly Average Weather Data [Shaver, G.]","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2FB92","doi:10.18739/A2FB92","Hydroxyl (OH) airglow image data, Alaska, February 15, 2011","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6HD7SRR","doi:10.5065/D6HD7SRR","J-CAD Drifting Buoy Data, Arctic Ocean, 2000-2002","Oceanography","Atmospheric Science",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6930R53","doi:10.5065/D6930R53","HLY-08-02 Microzooplankton stocks and grazing rates","Oceanography","biology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2PP08","doi:10.18739/A2PP08","Photogrammetric scans of aerial photographs of North American glaciers, 1964. Roll 1 jpegs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2688T","doi:10.18739/A2688T","200811_Barrow_field_photos","Cryology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2C090","doi:10.18739/A2C090","Passive acoustic data from A4 in the Bering Strait for November 2014","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2RN30687","doi:10.18739/A2RN30687","Bering2011_video_Flight1","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6VD6WMX","doi:10.5065/D6VD6WMX","Council Climate Data - Site 6 Low Shrub (Excel) [Beringer, J.]","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6B27SG5","doi:10.5065/D6B27SG5","Ivotuk Snow Water Equivalence (Excel) [Sturm, M., G. Liston, J. Holmgren]","ecology","Cryology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A27P8TD2J","doi:10.18739/A27P8TD2J","Marine Mammal Watch, Northern Bering Sea and Chukchi Sea, July, 2016","biology","Cryology","Atmospheric Science",NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2J297","doi:10.18739/A2J297","Hydroxyl (OH) airglow image data, Alaska, October 13, 2011","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2HJ8C","doi:10.18739/A2HJ8C","Hydroxyl (OH) airglow image data, Alaska, February 14, 2012","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2W29B","doi:10.18739/A2W29B","Mobile Instrumented Sensor Platform (MISP) spectroradiometer data, Imnaviat, Alaska, 2015","ecology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2W020","doi:10.18739/A2W020","Core Atmospheric and Snow Measurements at Summit, Greenland Environmental Observatory: AWS","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D60Z719P","doi:10.5065/D60Z719P","KN-195-10 Thorium-234 and Uranium-238 Distributions in the Eastern Bering Sea","Oceanography","geology/geophysics",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2BZ6178M","doi:10.18739/A2BZ6178M","Meteorological data from Chamberlin Glacier, Arctic National Wildlife Refuge, Alaska, 2016-2017","Atmospheric Science","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2J82N","doi:10.18739/A2J82N","Hydroxyl (OH) airglow image data, Alaska, November 29, 2012","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D63N21DZ","doi:10.5065/D63N21DZ","HLY-07-02 Sensor Calibration Data [Grebmeier/LDEO]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6X34VGG","doi:10.5065/D6X34VGG","HLY-09-02 Microzooplankton spring 2009 bloom data","biology","Oceanography",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D69S1P7F","doi:10.5065/D69S1P7F","Ivotuk Aboveground Biomass Measurements (ASCII) [Copass, C.]","biology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2WH1S","doi:10.18739/A2WH1S","Benthic invertebrate fatty acid concentration and stable carbon isotope data from individual fatty acids from the Bering Sea","Oceanography","ecology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A23R0PT35","doi:10.18739/A23R0PT35","Utqiaġvik shorebird breeding ecology study, Utqiaġvik, Alaska, 2003-2018","ecology","biology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A28R7W","doi:10.18739/A28R7W","Photogrammetric scans of aerial photographs of North American glaciers, 1987. Roll 1 jpegs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D67S7KXT","doi:10.5065/D67S7KXT","Ivotuk Period 4 Phytomass Data [Epstein, H., S. Riedel, D. Walker]","biology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2N07Q","doi:10.18739/A2N07Q","Passive acoustic data from A3 in the Bering Strait 13 of 17 (140312_180000_AU_BS03.wav to 140423_080000_AU_BS03.wav)","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A20N94","doi:10.18739/A20N94","Photogrammetric scans of aerial photographs of North American glaciers, 1976. Roll 1 jpegs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2C32C","doi:10.18739/A2C32C","Daily time lapse photography of Linnévatnet 05May12 to 06Aug12","Glaciology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2PC2T79B","doi:10.18739/A2PC2T79B","Annual basal area increments of Larix cajanderi across a stand density gradient, northeastern Siberia, 1951-2016","biology","ecology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2TM72155","doi:10.18739/A2TM72155","Beryllium-7 concentrations in seawater and aerosols from the Polarstern Cruise ARK-XXVI/3, Arctic Ocean 2011","Oceanography","Atmospheric Science","Cryology",NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A22R3NW6X","doi:10.18739/A22R3NW6X","NCEP Stratospheric Analyses, daily 1981Jun-1997Mar","aerial imagery/basemaps",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2VK3X","doi:10.18739/A2VK3X","Taku Glacier time-lapse photos, Alaska. 2014-16","Glaciology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A21N69","doi:10.18739/A21N69","Hydroxyl (OH) airglow image data, Alaska, January 15, 2012","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2424M","doi:10.18739/A2424M","Hydroxyl (OH) airglow image data, Alaska, March 15, 2011","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2MM1B","doi:10.18739/A2MM1B","Autonomous Ocean Flux Buoy 16","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2H65S","doi:10.18739/A2H65S","Passive acoustic data from A3 in the Bering Strait 14 of 17 (140423_090000_AU_BS03.wav to 140603_230000_AU_BS03.wav)","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A29292","doi:10.18739/A29292","Hydroxyl (OH) airglow image data, Alaska, October 31, 2011","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2NS81","doi:10.18739/A2NS81","Surface temperature","Soil Science","Soil Science",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6KP806T","doi:10.5065/D6KP806T","LSL2002-23 Macrofauna Data [Bluhm]","Oceanography","biology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2DR6R","doi:10.18739/A2DR6R","Photogrammetric scans of aerial photographs of North American glaciers, 1991. Roll 2 jpegs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6KW5D2X","doi:10.5065/D6KW5D2X","Walrus Monthly Foraging Utilization Distribution in the Chukchi Sea: 2008-2011 [Jay]","ecology","Oceanography","biology",NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6S180K2","doi:10.5065/D6S180K2","HLY-02-01 Ship Underway Data - Atmospheric Pressure (Plot) [NCAR/EOL]","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6ZK5DT3","doi:10.5065/D6ZK5DT3","Heterotrophic Bacteria and Protists in the Upper Water Column of the Central Arctic Ocean","biology","ecology","Oceanography",NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6GB2260","doi:10.5065/D6GB2260","Actinic Flux measurements during OASIS Barrow field intensive Spring 2009","Atmospheric Science","Cryology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6BG2M2Z","doi:10.5065/D6BG2M2Z","CNS Data for Box Core Sample B-4 taken at P1-92-14 (ASCII) [Cutter, G.]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6RX995F","doi:10.5065/D6RX995F","HLY-02-01 Radium Isotope Data (ASCII) [Kadko, D.]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2V11VK4J","doi:10.18739/A2V11VK4J","Meteorological data from the Lake Peters watershed, Arctic National Wildlife Refuge, Alaska, 2015-2018","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2GB1XH26","doi:10.18739/A2GB1XH26","Riparian Shrub expansion: soil analysis data, microbial communities and microarray gene data from the North Slope of Alaska, 2016","biology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D61834N9","doi:10.5065/D61834N9","Ivotuk Raw NDVI Data [Epstein, H., S. Riedel, D. Walker]","biology","ecology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2JH3D247","doi:10.18739/A2JH3D247","Autonomous Ice Mass Balance Buoy Observations, Buoy 2006D, Laptev Sea, Arctic Ocean, 2006","Cryology","Oceanography","Atmospheric Science",NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A22Z12P4J","doi:10.18739/A22Z12P4J","Surface classifications of Arctic sea ice from WorldView Satellite Imagery. Arctic Ocean, 2010-2015.","aerial imagery/basemaps",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6Z60M1K","doi:10.5065/D6Z60M1K","HLY0601 Benthic Summary","biology","Oceanography",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D61N7Z92","doi:10.5065/D61N7Z92","Daily Average Soil, Air and Ground Temperatures - Ivotuk Moss Site [Romanovsky, V.]","Soil Science","Atmospheric Science",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D68P5XNW","doi:10.5065/D68P5XNW","Estimates of Sea Ice Floe Velocities Characterizing Whaling Seasons Using Satellite Imagery of the Chukchi and Beaufort Seas, Spring 2000 and 2001","Cryology","aerial imagery/basemaps",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2G15T992","doi:10.18739/A2G15T992","Autonomous Ice Mass Balance Buoy Observations, Buoy 2015A, Beaufort Sea, Arctic Ocean, 2015","Cryology","Oceanography","Atmospheric Science",NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2860Q","doi:10.18739/A2860Q","Daily time lapse photography of Linnévatnet - north end 30Apr10 to 06Aug10","Glaciology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A21P9S","doi:10.18739/A21P9S","Quartz Lake, Alaska 11,200 Year Chironomid and Stable Isotope Data","Hydrology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2Q572","doi:10.18739/A2Q572","Ice core vanillic acid and para-hydroxybenzoic acid concentrations, Lomonosovfonna, Svalbard, Norway, 1222-2009","ice cores",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D65H7D8V","doi:10.5065/D65H7D8V","CTD casts, Patch Dynamics (B67)","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2BC36","doi:10.18739/A2BC36","Focused synthetic aperture radar processing of echogram data with Multiple Signal Classification (MUSIC) antenna array processing, Greenland, July 15 - July 22, 2008","aerial imagery/basemaps","Cryology","Glaciology",NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2CW1X","doi:10.18739/A2CW1X","Hydroxyl (OH) airglow image data, Alaska, October 14, 2011","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6MS3QT1","doi:10.5065/D6MS3QT1","HLY-02-01 Satellite, AVHRR 1KM Channel 5 Imagery [NCAR/EOL]","aerial imagery/basemaps",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2QR9P","doi:10.18739/A2QR9P","Ice surface and ice bottom location information in comma separated values (CSV) format corresponding to radar echograms, Greenland, 2008","Glaciology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2P55DG3P","doi:10.18739/A2P55DG3P","Continuous water vapor isotope ratios, Summit, Greenland, 2012-2014","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2G15T973","doi:10.18739/A2G15T973","Daily time lapse photography of Linnébreen 04Aug12 to 13Apr13","Glaciology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2MJ9P","doi:10.18739/A2MJ9P","Photogrammetric scans of aerial photographs of North American glaciers, 1977. Roll 3 jpegs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A28K75","doi:10.18739/A28K75","HLY1104 Winter_Cruise ADCP Data","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6Q52MPB","doi:10.5065/D6Q52MPB","HLY-02-03 Ship Underway Data - True Wind Speed and Direction (Plot) [NCAR/EOL]","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A29G0S","doi:10.18739/A29G0S","Photogrammetric scans of aerial photographs of North American glaciers, 1979. Roll 5 jpegs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D62B8W34","doi:10.5065/D62B8W34","2003 Helo Survey Nutrients and Oxygen Isotope Samples [Christensen, J. and H. Melling]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D62N50FT","doi:10.5065/D62N50FT","LAI and NDVI Meas. - Sagwon MNT Site (Excel) [Walker, D.]","ecology","biology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A24W3H","doi:10.18739/A24W3H","Simpson Lagoon CHIRP seismic data collected for NSF 0935336","geology/geophysics",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D62V2D8G","doi:10.5065/D62V2D8G","Cosmogenic 14C in Shallow Firn at Summit, Greenland","Cryology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2VD6P49R","doi:10.18739/A2VD6P49R","Catchment connectivity in an Arctic coastal plain watershed, 2018","Hydrology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6Q23X81","doi:10.5065/D6Q23X81","BEST Ice Chlorophyll (chl) 2008","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6NK3C62","doi:10.5065/D6NK3C62","Council Soil Data - Station C1 [Hinzman, L.]","Soil Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2006F","doi:10.18739/A2006F","Lake-sediment charcoal, pollen, and chronological data from Alaskan tundra ecosystems: Little Isac, Poktovik, Raven, and Uchugrak lakes","Hydrology","climate",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6N014MX","doi:10.5065/D6N014MX","P-1 Raw Probe Data from P1-92-AR [Darby, D.]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D62F7KJW","doi:10.5065/D62F7KJW","Banks Island July 2003 Field Report","ecology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D62805MF","doi:10.5065/D62805MF","HLY-07-02 POSMV and Navigation Data [Grebmeier/LDEO]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2M07D","doi:10.18739/A2M07D","Passive acoustic data from A2W in the Bering Strait 4 of 7 (121222_090000_AU_BS02.wav to 130128_190000_AU_BS02.wav)","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2165F","doi:10.18739/A2165F","Passive acoustic data from A3 in the Bering Strait 10 of 17 (131107_210000_AU_BS03.wav to 131219_110000_AU_BS03.wav)","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D65T3HHT","doi:10.5065/D65T3HHT","Zooplankton Abundance Compilation","biology","Oceanography",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2XC57","doi:10.18739/A2XC57","WHOI Ice Tethered Profiler #3","Oceanography","Cryology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2RW33","doi:10.18739/A2RW33","Hydro-chemical data for NPEO 2010","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6CF9N5B","doi:10.5065/D6CF9N5B","Seabird Broad-Scale Distribution 2008-2010 (B64)","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2F833","doi:10.18739/A2F833","Hydroxyl (OH) airglow image data, Alaska, March 17, 2011","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6MC8X5R","doi:10.5065/D6MC8X5R","Alaskan Lake Database Mapped from Landsat Images","aerial imagery/basemaps","Hydrology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6513WCN","doi:10.5065/D6513WCN","Council Meteorological Data - Station C1 [Hinzman, L.]","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A29593","doi:10.18739/A29593","Field Campaigns (SnowNet)","Cryology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D66T0JRJ","doi:10.5065/D66T0JRJ","Sea Ice Melt Ponds: Integrated Albedo","Cryology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2TW1Z","doi:10.18739/A2TW1Z","Hydroxyl (OH) airglow image data, Alaska, December 19, 2011","Atmospheric Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6HX19TR","doi:10.5065/D6HX19TR","Beaufort Sea Sediment Core Lipid Analysis, Station 44 (Excel) [Harvey, R.]","Oceanography","geology/geophysics",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2XN84","doi:10.18739/A2XN84","Photogrammetric scans of aerial photographs of North American glaciers, 1990. Roll 1 tiffs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2M527","doi:10.18739/A2M527","Photogrammetric scans of aerial photographs of North American glaciers, 1990. Roll 3 tiffs - Fiducials","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6GT5K65","doi:10.5065/D6GT5K65","Bottom Trawl Survey CTD data in 2009, Forage Distribution and Ocean Conditions (B62)","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A22541","doi:10.18739/A22541","Photogrammetric scans of aerial photographs of North American glaciers, 1970. Roll 2 tiffs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2FS85","doi:10.18739/A2FS85","Soil Moisture NIMS grid Barrow, Alaska 2012","Soil Science",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A29882M33","doi:10.18739/A29882M33","Iceberg tracking near Sermilik Fjord, Southeast Greenland from 2012-2014","Glaciology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6V9865J","doi:10.5065/D6V9865J","Seabeam Bathymetry Imagery by Station - HLY-02-01 [USCG]","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2CW0J","doi:10.18739/A2CW0J","Taku Glacier, Southeast Alaska aerial photogrammetry, August 2, 2015. JPG Images Volume 2 of 3","Glaciology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2FG69","doi:10.18739/A2FG69","River_discharge_Naujat_Kuat_River_Greenland_2011_to_2014","Hydrology",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A24627","doi:10.18739/A24627","Chemistry (major ions) data of 2007 Summit ice cores","ice cores",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6WQ01XR","doi:10.5065/D6WQ01XR","ArcticRIMS: Daily Simulated runoff from Pan-Arctic Water Balance Model","model output","Hydrology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A28911Q99","doi:10.18739/A28911Q99","Northern West Siberia Normalized Difference Vegetation Index (NDVI) and Climate Data, 2000-2016","aerial imagery/basemaps",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2RN3069Q","doi:10.18739/A2RN3069Q","Hydrographic CCGS Louis S. St-Laurent Cruise CTD and Geochemistry Data 2011","Oceanography",NA,NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A25T3G04V","doi:10.18739/A25T3G04V","AmeriFlux CA-Man Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area). 1994-2008","ecology","Soil Science","Atmospheric Science",NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A26N90","doi:10.18739/A26N90","Photogrammetric scans of aerial photographs of North American glaciers, 1979. Roll 3 tiffs","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.18739/A2ZG0P","doi:10.18739/A2ZG0P","Photogrammetric scans of aerial photographs of North American glaciers, 1986. Roll 1 thumbnails","aerial imagery/basemaps","Glaciology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D68W3BCK","doi:10.5065/D68W3BCK","HLY-02-01 Benthic Faunal Summaries (abundance, biomass, and dominance) (ASCII) [Grebmeier, J. and L. Cooper]","Oceanography","biology",NA,NA,NA
"http://arcticdata.io/catalog/view/doi:10.5065/D6SJ1HM7","doi:10.5065/D6SJ1HM7","cANIMIDA Sediment Contaminants [Trefry]","Oceanography","geology/geophysics",NA,NA,NA
