"","id","dateUploaded","datasource","title"
"31","doi:10.18739/A28G8FH70","2019-09-19T22:38:46.988Z","urn:node:ARCTIC","Methane emissions (Alaska, Canada, Sweden, Siberia) proportional to permafrost carbon thawed in Arctic lakes since the 1950s"
"32","doi:10.18739/A2KJ9C","2017-09-08T07:12:24.601Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1977. Roll 6 thumbnails"
"33","doi:10.18739/A2HK7B","2016-04-02T04:03:57.809Z","urn:node:ARCTIC","Feb 23"
"34","doi:10.18739/A2K03K","2016-04-02T04:36:14.792Z","urn:node:ARCTIC","Feb 8, 2012"
"35","doi:10.18739/A2J87J","2018-05-01T22:35:34.037Z","urn:node:ARCTIC","SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, September 13 - 15, 2014"
"36","doi:10.18739/A28G74","2016-04-02T05:56:18.857Z","urn:node:ARCTIC","Perrault 2006 Mineralogical Analysis of Primary and Secondary Source Sediments to Linnévatnet, Spitsbergen, Svalbard"
"37","doi:10.18739/A2D667","2016-10-14T23:45:54.049Z","urn:node:ARCTIC","Cloud-scale turbulent dissipation rate, 2002"
"38","doi:10.18739/A26Z2F","2017-07-21T08:49:19.813Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1978. Roll 3 thumbnails"
"39","doi:10.18739/A2TN7T","2017-08-28T23:55:25.172Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1995. Roll 1 jpegs"
"40","doi:10.5065/D65H7DF3","2016-04-02T15:44:01.895Z","urn:node:ARCTIC","Toolik Hourly Average Weather Data [Shaver, G.]"
"41","doi:10.18739/A2FB92","2017-08-01T22:39:18.963Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, February 15, 2011"
"42","doi:10.5065/D6HD7SRR","2016-04-02T11:08:50.491Z","urn:node:ARCTIC","J-CAD Drifting Buoy Data, Arctic Ocean, 2000-2002"
"43","doi:10.5065/D6930R53","2016-04-02T06:44:36.285Z","urn:node:ARCTIC","HLY-08-02 Microzooplankton stocks and grazing rates"
"44","doi:10.18739/A2DJ59","2017-07-21T03:22:32.174Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1994. Roll 5 jpegs"
"45","doi:10.18739/A2PP08","2017-10-10T23:03:09.381Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1964. Roll 1 jpegs"
"46","doi:10.18739/A2688T","2016-04-02T04:26:37.008Z","urn:node:ARCTIC","200811_Barrow_field_photos"
"47","doi:10.18739/A2C090","2017-01-23T18:18:53.418Z","urn:node:ARCTIC","Passive acoustic data from A4 in the Bering Strait for November 2014"
"48","doi:10.18739/A2RN30687","2018-05-11T22:24:53.617Z","urn:node:ARCTIC","Bering2011_video_Flight1"
"49","doi:10.5065/D6VD6WMX","2016-04-02T15:40:54.453Z","urn:node:ARCTIC","Council Climate Data - Site 6 Low Shrub (Excel) [Beringer, J.]"
"50","doi:10.18739/A2TK3M","2018-02-12T19:08:02.491Z","urn:node:ARCTIC","Estimating fluxes of greenhouse gasses along the Yenisei River, Siberia, 2016"
"51","doi:10.18739/A2FH1R","2016-04-02T09:58:21.874Z","urn:node:ARCTIC","Chemical weathering and organic carbon geochemistry of six Arctic watersheds, North Slope, Alaska, 2009-2010"
"52","doi:10.5065/D6B27SG5","2016-04-02T15:45:07.565Z","urn:node:ARCTIC","Ivotuk Snow Water Equivalence (Excel) [Sturm, M., G. Liston, J. Holmgren]"
"53","doi:10.18739/A2QV56","2017-08-28T20:21:50.915Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1997. Roll 1 thumbnails"
"54","doi:10.18739/A27P8TD2J","2019-09-19T21:57:30.533Z","urn:node:ARCTIC","Marine Mammal Watch, Northern Bering Sea and Chukchi Sea, July, 2016"
"55","doi:10.18739/A2J297","2018-05-09T21:09:44.510Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, October 13, 2011"
"56","doi:10.18739/A2HJ8C","2017-08-17T17:55:26.483Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, February 14, 2012"
"57","doi:10.18739/A2W29B","2018-05-04T18:47:06.484Z","urn:node:ARCTIC","Mobile Instrumented Sensor Platform (MISP) spectroradiometer data, Imnaviat, Alaska, 2015"
"58","doi:10.18739/A2T89S","2016-04-02T05:59:53.729Z","urn:node:ARCTIC","McKay 2005 Characterization of Climatic Influences on Modern Sedimentation in an Arctic Lake, Svalbard, Norway"
"59","doi:10.18739/A2GS4Z","2016-04-02T03:57:48.838Z","urn:node:ARCTIC","Nov 25"
"60","doi:10.18739/A2W020","2016-04-02T08:08:50.155Z","urn:node:ARCTIC","Core Atmospheric and Snow Measurements at Summit, Greenland Environmental Observatory: AWS"
"61","doi:10.18739/A24H2B","2016-10-24T21:19:17.396Z","urn:node:ARCTIC","Network of Permafrost Observatories in Western Alaska"
"62","doi:10.5065/D60Z719P","2016-04-02T07:09:07.035Z","urn:node:ARCTIC","KN-195-10 Thorium-234 and Uranium-238 Distributions in the Eastern Bering Sea"
"63","doi:10.18739/A2H05Q","2016-04-02T08:55:12.038Z","urn:node:ARCTIC","NMC Global Tropospheric Analyses, tropopause subset, daily 1976 July - continuing"
"64","doi:10.18739/A2BZ6178M","2019-04-15T18:43:38.246Z","urn:node:ARCTIC","Meteorological data from Chamberlin Glacier, Arctic National Wildlife Refuge, Alaska, 2016-2017"
"65","doi:10.18739/A2J82N","2017-08-26T00:07:31.456Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, November 29, 2012"
"66","doi:10.18739/A2357G","2018-02-09T22:06:54.113Z","urn:node:ARCTIC","Alexandra Fiord Mesic Tundra Ecosystem [Welker, J., J. Fahnestock]"
"67","doi:10.5065/D63N21DZ","2016-04-02T06:30:54.590Z","urn:node:ARCTIC","HLY-07-02 Sensor Calibration Data [Grebmeier/LDEO]"
"68","doi:10.18739/A26P66","2016-04-02T03:42:20.974Z","urn:node:ARCTIC","Oct 2"
"69","doi:10.5065/D6X34VGG","2016-04-02T06:55:31.738Z","urn:node:ARCTIC","HLY-09-02 Microzooplankton spring 2009 bloom data"
"70","doi:10.18739/A2031K","2016-04-02T03:40:18.714Z","urn:node:ARCTIC","Oct 21"
"71","doi:10.5065/D69S1P7F","2016-04-02T14:56:47.054Z","urn:node:ARCTIC","Ivotuk Aboveground Biomass Measurements (ASCII) [Copass, C.]"
"72","doi:10.18739/A2HH1C","2016-06-17T19:13:36.408Z","urn:node:ARCTIC","WHOI Ice Tethered Profiler #27"
"73","doi:10.18739/A2VG95","2016-04-02T04:33:35.158Z","urn:node:ARCTIC","Feb 11, 2012"
"74","doi:10.18739/A2WH1S","2016-04-02T10:34:27.566Z","urn:node:ARCTIC","Benthic invertebrate fatty acid concentration and stable carbon isotope data from individual fatty acids from the Bering Sea"
"75","doi:10.18739/A22W3W","2016-04-02T04:27:25.959Z","urn:node:ARCTIC","October"
"76","doi:10.18739/A23R0PT35","2019-09-19T22:43:34.255Z","urn:node:ARCTIC","Utqiaġvik shorebird breeding ecology study, Utqiaġvik, Alaska, 2003-2018"
"77","doi:10.18739/A28R7W","2017-09-06T03:12:37.728Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1987. Roll 1 jpegs"
"78","doi:10.5065/D67S7KXT","2016-04-02T14:52:55.795Z","urn:node:ARCTIC","Ivotuk Period 4 Phytomass Data [Epstein, H., S. Riedel, D. Walker]"
"79","doi:10.18739/A2N07Q","2016-09-21T01:34:45.209Z","urn:node:ARCTIC","Passive acoustic data from A3 in the Bering Strait 13 of 17 (140312_180000_AU_BS03.wav to 140423_080000_AU_BS03.wav)"
"80","doi:10.18739/A20N94","2017-09-08T21:42:05.472Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1976. Roll 1 jpegs"
"81","doi:10.18739/A2C32C","2016-04-02T05:18:46.016Z","urn:node:ARCTIC","Daily time lapse photography of Linnévatnet 05May12 to 06Aug12"
"82","doi:10.18739/A2PC2T79B","2018-05-21T23:19:31.411Z","urn:node:ARCTIC","Annual basal area increments of Larix cajanderi across a stand density gradient, northeastern Siberia, 1951-2016"
"83","doi:10.18739/A2TM72155","2019-09-19T21:47:42.461Z","urn:node:ARCTIC","Beryllium-7 concentrations in seawater and aerosols from the Polarstern Cruise ARK-XXVI/3, Arctic Ocean 2011"
"84","doi:10.18739/A22R3NW6X","2018-06-01T18:55:52.047Z","urn:node:ARCTIC","NCEP Stratospheric Analyses, daily 1981Jun-1997Mar"
"85","doi:10.18739/A2VK3X","2018-04-03T17:58:44.136Z","urn:node:ARCTIC","Taku Glacier time-lapse photos, Alaska. 2014-16"
"86","doi:10.18739/A21N69","2017-08-14T19:03:28.243Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, January 15, 2012"
"87","doi:10.18739/A2489K","2016-04-02T08:26:49.767Z","urn:node:ARCTIC","North Pole Environmental Observatory Bottle Chemistry"
"88","doi:10.18739/A2CK6Q","2016-04-02T04:19:08.466Z","urn:node:ARCTIC","Sep 21"
"89","doi:10.18739/A20J6Z","2017-07-20T20:55:37.691Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1979. Roll 4 thumbnails"
"90","doi:10.18739/A2QJ6G","2017-07-16T20:17:52.082Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1992. Roll 3 jpegs"
"91","doi:10.18739/A2FZ2M","2017-07-04T06:14:53.450Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1994. Roll 2 jpegs"
"92","doi:10.18739/A2424M","2017-09-06T18:39:02.593Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, March 15, 2011"
"93","doi:10.18739/A2MM1B","2016-04-02T10:15:26.701Z","urn:node:ARCTIC","Autonomous Ocean Flux Buoy 16"
"94","doi:10.18739/A2H65S","2016-09-21T01:58:38.422Z","urn:node:ARCTIC","Passive acoustic data from A3 in the Bering Strait 14 of 17 (140423_090000_AU_BS03.wav to 140603_230000_AU_BS03.wav)"
"95","doi:10.18739/A2GM47","2017-06-12T20:46:05.642Z","urn:node:ARCTIC","Ocean water property observations reported from ice-tethered profiler(ITP) #48,Transpolar Drift, 2011"
"96","doi:10.18739/A2JH3F","2017-02-03T10:06:01.830Z","urn:node:ARCTIC","Passive acoustic data from A4 in the Bering Strait for June 2015"
"97","doi:10.18739/A29292","2018-05-10T17:53:21.583Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, October 31, 2011"
"98","doi:10.18739/A23F8M","2017-08-15T21:51:12.220Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, January 24, 2012"
"99","doi:10.18739/A2NS81","2016-04-02T06:26:23.799Z","urn:node:ARCTIC","Surface temperature"
"100","doi:10.5065/D6KP806T","2016-04-02T12:12:34.340Z","urn:node:ARCTIC","LSL2002-23 Macrofauna Data [Bluhm]"
"101","doi:10.18739/A2DR6R","2017-09-02T01:09:24.918Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1991. Roll 2 jpegs"
"102","doi:10.5065/D6KW5D2X","2016-04-02T12:00:51.724Z","urn:node:ARCTIC","Walrus Monthly Foraging Utilization Distribution in the Chukchi Sea: 2008-2011 [Jay]"
"103","doi:10.5065/D6S180K2","2016-04-02T12:50:02.328Z","urn:node:ARCTIC","HLY-02-01 Ship Underway Data - Atmospheric Pressure (Plot) [NCAR/EOL]"
"104","doi:10.18739/A28R9N","2017-12-21T20:28:27.723Z","urn:node:ARCTIC","Greenland Fjory Passive Acoustic Data, Saqardleq fjord, West Greenland, 2013"
"105","doi:10.18739/A2868R","2017-05-30T21:40:20.618Z","urn:node:ARCTIC","Soil CO2 flux, temperature, and moisture, Thule, Greenland 2016"
"106","doi:10.5065/D6ZK5DT3","2016-04-02T11:48:25.407Z","urn:node:ARCTIC","Heterotrophic Bacteria and Protists in the Upper Water Column of the Central Arctic Ocean"
"107","doi:10.5065/D6GB2260","2016-04-02T11:52:40.133Z","urn:node:ARCTIC","Actinic Flux measurements during OASIS Barrow field intensive Spring 2009"
"108","doi:10.5065/D6BG2M2Z","2016-04-02T12:46:56.463Z","urn:node:ARCTIC","CNS Data for Box Core Sample B-4 taken at P1-92-14 (ASCII) [Cutter, G.]"
"109","doi:10.5065/D6RX995F","2016-04-02T13:19:21.047Z","urn:node:ARCTIC","HLY-02-01 Radium Isotope Data (ASCII) [Kadko, D.]"
"110","doi:10.18739/A2V11VK4J","2019-04-15T19:27:18.667Z","urn:node:ARCTIC","Meteorological data from the Lake Peters watershed, Arctic National Wildlife Refuge, Alaska, 2015-2018"
"111","doi:10.18739/A2GB1XH26","2019-09-19T21:46:06.605Z","urn:node:ARCTIC","Riparian Shrub expansion: soil analysis data, microbial communities and microarray gene data from the North Slope of Alaska, 2016"
"112","doi:10.5065/D61834N9","2016-04-02T15:27:32.907Z","urn:node:ARCTIC","Ivotuk Raw NDVI Data [Epstein, H., S. Riedel, D. Walker]"
"113","doi:10.18739/A2JH3D247","2018-11-15T20:32:06.713Z","urn:node:ARCTIC","Autonomous Ice Mass Balance Buoy Observations, Buoy 2006D, Laptev Sea, Arctic Ocean, 2006"
"114","doi:10.18739/A22Z12P4J","2019-03-08T18:25:33.085Z","urn:node:ARCTIC","Surface classifications of Arctic sea ice from WorldView Satellite Imagery. Arctic Ocean, 2010-2015."
"115","doi:10.5065/D6Z60M1K","2016-04-02T06:39:10.537Z","urn:node:ARCTIC","HLY0601 Benthic Summary"
"116","doi:10.5065/D64J0C8T","2016-04-02T15:23:55.630Z","urn:node:ARCTIC","Alexandra Fiord Mesic Tundra Ecosystem [Welker, J., J. Fahnestock]"
"117","doi:10.5065/D61N7Z92","2016-04-02T15:28:55.558Z","urn:node:ARCTIC","Daily Average Soil, Air and Ground Temperatures - Ivotuk Moss Site [Romanovsky, V.]"
"118","doi:10.18739/A2CP1V","2018-05-04T17:25:59.499Z","urn:node:ARCTIC","Mobile Instrumented Sensor Platform (MISP) spectroradiometer data, Imnaviat, Alaska, 2016"
"119","doi:10.5065/D68P5XNW","2016-04-02T10:54:45.702Z","urn:node:ARCTIC","Estimates of Sea Ice Floe Velocities Characterizing Whaling Seasons Using Satellite Imagery of the Chukchi and Beaufort Seas, Spring 2000 and 2001"
"120","doi:10.18739/A2G15T992","2018-11-15T01:49:04.426Z","urn:node:ARCTIC","Autonomous Ice Mass Balance Buoy Observations, Buoy 2015A, Beaufort Sea, Arctic Ocean, 2015"
"121","doi:10.18739/A2860Q","2016-04-02T05:24:55.553Z","urn:node:ARCTIC","Daily time lapse photography of Linnévatnet - north end 30Apr10 to 06Aug10"
"122","doi:10.18739/A21P9S","2016-04-02T11:55:46.300Z","urn:node:ARCTIC","Quartz Lake, Alaska 11,200 Year Chironomid and Stable Isotope Data"
"123","doi:10.18739/A2Q572","2018-04-25T17:40:17.337Z","urn:node:ARCTIC","Ice core vanillic acid and para-hydroxybenzoic acid concentrations, Lomonosovfonna, Svalbard, Norway, 1222-2009"
"124","doi:10.5065/D65H7D8V","2016-04-02T07:28:16.776Z","urn:node:ARCTIC","CTD casts, Patch Dynamics (B67)"
"125","doi:10.18739/A2BC36","2017-10-09T23:01:34.160Z","urn:node:ARCTIC","Focused synthetic aperture radar processing of echogram data with Multiple Signal Classification (MUSIC) antenna array processing, Greenland, July 15 - July 22, 2008"
"126","doi:10.18739/A2R80R","2017-07-26T02:33:59.567Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1970. Roll 2 thumbnails"
"127","doi:10.18739/A2CW1X","2018-05-09T21:30:33.850Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, October 14, 2011"
"128","doi:10.5065/D6MS3QT1","2016-04-02T13:03:57.977Z","urn:node:ARCTIC","HLY-02-01 Satellite, AVHRR 1KM Channel 5 Imagery [NCAR/EOL]"
"129","doi:10.18739/A20K82","2016-04-02T05:04:56.489Z","urn:node:ARCTIC","November 20, 2012"
"130","doi:10.18739/A2FJ8R","2017-08-17T21:50:59.374Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1973. Roll 1 jpegs"
"131","doi:10.18739/A2QR9P","2017-09-29T18:54:32.958Z","urn:node:ARCTIC","Ice surface and ice bottom location information in comma separated values (CSV) format corresponding to radar echograms, Greenland, 2008"
"132","doi:10.18739/A2XF7P","2017-07-21T14:45:35.941Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1978. Roll 2 jpegs"
"133","doi:10.18739/A2P55DG3P","2018-06-13T18:40:37.732Z","urn:node:ARCTIC","Continuous water vapor isotope ratios, Summit, Greenland, 2012-2014"
"134","doi:10.18739/A2G15T973","2018-05-16T21:31:03.243Z","urn:node:ARCTIC","Daily time lapse photography of Linnébreen 04Aug12 to 13Apr13"
"135","doi:10.18739/A25Q2Q","2016-12-04T17:49:49.605Z","urn:node:ARCTIC","Passive acoustic data from A3 in the Bering Strait for August 2014"
"136","doi:10.18739/A2MJ9P","2017-09-08T02:53:35.934Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1977. Roll 3 jpegs"
"137","doi:10.18739/A2R02R","2016-04-02T04:13:05.773Z","urn:node:ARCTIC","Apr 10"
"138","doi:10.18739/A2R335","2016-04-02T06:13:10.295Z","urn:node:ARCTIC","Seasonal reflectance from SEASON plot controls: Rawhyperspectraldata"
"139","doi:10.18739/A2T62F","2016-04-02T04:50:48.993Z","urn:node:ARCTIC","December 8, 2012"
"140","doi:10.18739/A28K75","2016-04-02T08:47:40.433Z","urn:node:ARCTIC","HLY1104 Winter_Cruise ADCP Data"
"141","doi:10.5065/D6Q52MPB","2016-04-02T13:05:28.271Z","urn:node:ARCTIC","HLY-02-03 Ship Underway Data - True Wind Speed and Direction (Plot) [NCAR/EOL]"
"142","doi:10.18739/A29G0S","2017-09-07T05:53:30.137Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1979. Roll 5 jpegs"
"143","doi:10.5065/D62B8W34","2016-04-02T12:45:57.448Z","urn:node:ARCTIC","2003 Helo Survey Nutrients and Oxygen Isotope Samples [Christensen, J. and H. Melling]"
"144","doi:10.5065/D62N50FT","2016-04-02T15:26:25.462Z","urn:node:ARCTIC","LAI and NDVI Meas. - Sagwon MNT Site (Excel) [Walker, D.]"
"145","doi:10.18739/A24W3H","2016-04-02T08:23:46.753Z","urn:node:ARCTIC","Simpson Lagoon CHIRP seismic data collected for NSF 0935336"
"146","doi:10.5065/D62V2D8G","2016-04-02T10:52:13.981Z","urn:node:ARCTIC","Cosmogenic 14C in Shallow Firn at Summit, Greenland"
"147","doi:10.18739/A2V79R","2017-07-16T19:23:14.156Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1992. Roll 2 jpegs"
"148","doi:10.18739/A2HB89","2017-07-21T05:42:30.197Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1979. Roll 4 jpegs"
"149","doi:10.18739/A20C4SJ7J","2018-12-07T21:20:31.313Z","urn:node:ARCTIC","North Greenland Eemian Ice Drilling (NEEM) 2008 S3 Firn Core Impurity Data"
"150","doi:10.18739/A2VD6P49R","2019-09-19T21:58:16.669Z","urn:node:ARCTIC","Catchment connectivity in an Arctic coastal plain watershed, 2018"
"151","doi:10.5065/D6Q23X81","2016-04-02T06:38:10.391Z","urn:node:ARCTIC","BEST Ice Chlorophyll (chl) 2008"
"152","doi:10.18739/A2599Z17N","2019-01-31T17:41:10.598Z","urn:node:ARCTIC","Year-round soil pore space carbon dioxide and temperature at Toolik Field Station, Alaska, 2017-2018"
"153","doi:10.5065/D6NK3C62","2016-04-02T15:24:54.166Z","urn:node:ARCTIC","Council Soil Data - Station C1 [Hinzman, L.]"
"154","doi:10.18739/A2006F","2016-04-02T06:18:32.807Z","urn:node:ARCTIC","Lake-sediment charcoal, pollen, and chronological data from Alaskan tundra ecosystems: Little Isac, Poktovik, Raven, and Uchugrak lakes"
"155","doi:10.18739/A2QN88","2017-09-07T00:58:35.814Z","urn:node:ARCTIC","Photogrammetric scans of North American Glacier Aerial Photographs, 1991. Roll 1 tiffs"
"156","doi:10.5065/D6N014MX","2016-04-02T12:15:49.773Z","urn:node:ARCTIC","P-1 Raw Probe Data from P1-92-AR [Darby, D.]"
"157","doi:10.18739/A2ZK0Q","2017-09-11T20:39:02.582Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1973. Roll 2 jpegs"
"158","doi:10.18739/A2SB95","2017-07-25T05:52:31.962Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1977. Roll 2 jpegs"
"159","doi:10.5065/D62F7KJW","2016-04-02T10:49:39.884Z","urn:node:ARCTIC","Banks Island July 2003 Field Report"
"160","doi:10.18739/A2DV41","2017-07-26T07:56:26.112Z","urn:node:ARCTIC","Photogrammetric scans of aerial photographs of North American glaciers, 1974. Roll 3 thumbnails"
"161","doi:10.5065/D62805MF","2016-04-02T06:36:55.444Z","urn:node:ARCTIC","HLY-07-02 POSMV and Navigation Data [Grebmeier/LDEO]"
"162","doi:10.18739/A2M07D","2016-09-21T16:53:59.497Z","urn:node:ARCTIC","Passive acoustic data from A2W in the Bering Strait 4 of 7 (121222_090000_AU_BS02.wav to 130128_190000_AU_BS02.wav)"
"163","doi:10.18739/A2165F","2016-09-21T00:33:38.621Z","urn:node:ARCTIC","Passive acoustic data from A3 in the Bering Strait 10 of 17 (131107_210000_AU_BS03.wav to 131219_110000_AU_BS03.wav)"
"164","doi:10.5065/D65T3HHT","2016-04-02T12:08:09.282Z","urn:node:ARCTIC","Zooplankton Abundance Compilation"
"165","doi:10.18739/A2XC57","2018-04-09T21:35:18.416Z","urn:node:ARCTIC","WHOI Ice Tethered Profiler #3"
"166","doi:10.18739/A2RW33","2016-04-02T08:29:35.341Z","urn:node:ARCTIC","Hydro-chemical data for NPEO 2010"
"167","doi:10.18739/A2J96089F","2019-02-19T21:24:47.560Z","urn:node:ARCTIC","Surface sediment samples collected from the Canadian Coast Guard Ship (CCGS) Sir Wilfrid Laurier, Northern Bering Sea to Chukchi Sea, 2016"
"168","doi:10.5065/D6CF9N5B","2016-04-02T07:20:37.530Z","urn:node:ARCTIC","Seabird Broad-Scale Distribution 2008-2010 (B64)"
"169","doi:10.18739/A2F833","2017-09-06T21:06:46.228Z","urn:node:ARCTIC","Hydroxyl (OH) airglow image data, Alaska, March 17, 2011"
"170","doi:10.5065/D62N50CX","2016-04-02T12:39:55.805Z","urn:node:ARCTIC","Nathaniel B. Palmer Cruise NBP03-04a Raw ADCP Data [Swift, J. et al.]"
