"article_id","article_title","dataset_id","source"
NA,NA,"doi:10.18739/A2DH36","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
"10.1371/journal.pone.0253929","Bowhead and beluga whale acoustic detections in the western Beaufort Sea 2008–2018","10.7265/N5K072F8","plos"
"10.1371/journal.pone.0252055","Migratory movements of Atlantic puffins Fratercula arctica naumanni from high Arctic Greenland","10.7265/N5K072F8","plos"
"10.1371/journal.pone.0265934","Changes in gray whale phenology and distribution related to prey variability and ocean biophysics in the northern Bering and eastern Chukchi seas","10.7265/N5K072F8","plos"
"10.1371/journal.pone.0217708","Nest characteristics determine nest microclimate and affect breeding output in an Antarctic seabird, the Wilson’s storm-petrel","10.5194/tc-11-1607-2017","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2DR2P87G","plos"
NA,NA,"doi:10.18739/A2C53F216","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 80: Connection refused
"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A28G8FJ5G","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A24Q7QR1B","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A20Z70X8F","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2W950P5M","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A25717P68","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A2WP9T76H","plos"
"10.1371/journal.pone.0254418","Lingering Chukchi Sea sea ice and Chukchi Sea mean winds influence population age structure of euphausiids (krill) found in the bowhead whale feeding hotspot near Pt. Barrow, Alaska","10.18739/A21G0HW1N","plos"
"10.1371/journal.pone.0179848","Effects of anabolic and catabolic nutrients on woody plant encroachment after long-term experimental fertilization in a South African savanna","10.3334/ORNLDAAC/1565","plos"
NA,NA,"doi:10.18739/A2R49G99Z","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
NA,NA,"doi:10.18739/A2VT1GQ4Q","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Timeout was reached: [api.plos.org] Operation timed out after 10012 milliseconds with 0 out of 0 bytes received
"
NA,NA,"doi:10.18739/A2KG1N","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
"10.1371/journal.pone.0213037","Migratory goose arrival time plays a larger role in influencing forage quality than advancing springs in an Arctic coastal wetland","10.18739/A22274","plos"
NA,NA,"doi:10.18739/A2H41JN35","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
NA,NA,"doi:10.18739/A22B8VB7G","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Timeout was reached: [api.plos.org] Operation timed out after 10099 milliseconds with 0 out of 0 bytes received
"
NA,NA,"doi:10.18739/A2ZP3W06J","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
"10.1371/journal.pone.0156588","Local versus Generalized Phenotypes in Two Sympatric Aurelia Species: Understanding Jellyfish Ecology Using Genetics and Morphometrics","10.5067/AQUA/MODIS_OC.2014.0","plos"
"10.1371/journal.pone.0255304","Coral reefs in the Gilbert Islands of Kiribati: Resistance, resilience, and recovery after more than a decade of multiple stressors","10.5067/AQUA/MODIS_OC.2014.0","plos"
NA,NA,"doi:10.18739/A25X25D3P","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 443: Connection refused
"
"10.1371/journal.pone.0265934","Changes in gray whale phenology and distribution related to prey variability and ocean biophysics in the northern Bering and eastern Chukchi seas","10.18739/A26T0GX06","plos"
NA,NA,"doi:10.18739/A2QB9V631","plosError in curl::curl_fetch_memory(x$url$url, handle = x$url$handle): Failed to connect to api.plos.org port 80: Connection refused
"
